,Result
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,-0.5
Ancient Tomb | Mox Sapphire | Visage Bandit,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blazing Volley | Hammerheim | Heartfire Hero,-1.0
Campfire | Eldrazi Temple | Idol of False Gods,-0.5
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Dark Ritual | Hypnotic Specter | Swamp,1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,-1.0
Encroach | Student of Warfare | Undiscovered Paradise,-1.0
Forbidden Orchard | Peat Bog | Suspended Sentence,-1.0
Glistener Elf | Glistener Elf | Pendelhaven,0.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,1.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,-0.5
Prairie Dog | Remote Farm | Soul Partition,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
