Opponent Decklist,Result
Akoum Warrior | Glimpse of Tomorrow | Pinnacle Monk,1.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,0.0
Bandit's Talent | Mox Jet | Mutavault,0.0
Blazing Hope | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Blazing Rootwalla | Dismember | Mountain,-1.0
Bond Beetle | Forest | Mistbreath Elder,-0.5
"Boseiju, Who Endures | Dryad Arbor | Grist, Voracious Larva",1.0
Claws of Gix | Descent into Avernus | Dwarven Hold,1.0
Cruel Sadist | Ebon Stronghold | Mortuary Mire,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
Flash | Phyrexian Triniform | Sand Silos,1.0
Flash | Saprazzan Skerry | Woodfall Primus,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Heartfire Hero | Leather Armor | Mountain,0.5
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby,0.0
Mana Tithe | Mox Pearl | Restore Balance,1.0
Memnite | Memnite | Memnite,1.0
Portable Hole | Restore Balance | Undiscovered Paradise,0.0
