Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,0.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
"Battlefield Raptor | Scrubland | Tinybones, the Pickpocket",1.0
Cathedral of War | Chancellor of the Forge | Mental Misstep,1.0
Chancellor of the Forge | Maze of Ith | Pyrokinesis,0.0
Crystal Vein | Elixir of Immortality | Gingerbrute,1.0
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,1.0
Dryad Arbor | Maze of Ith | Mistbreath Elder,-0.5
"Emry, Lurker of the Loch | Pyrite Spellbomb | Silverbluff Bridge",1.0
Flash | Saprazzan Skerry | Woodfall Primus,-1.0
Forest | Mistbreath Elder | Sunshower Druid,0.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",0.0
Goblin Guide | Lightning Bolt | Mountain,-1.0
Healer's Hawk | Healer's Hawk | Plains,1.0
Hollow Trees | Nullhide Ferox | Skylasher,1.0
Kulrath Knight | Reanimate | Subterranean Hangar,1.0
Lotus Bloom | Magus of the Moon | Mental Misstep,1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,-0.5
