Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-1.0
Arcbound Slith | City of Traitors | Disruptor Flute,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,1.0
City of Traitors | Field of Ruin | Idol of False Gods,-1.0
City of Traitors | Idol of False Gods | The Filigree Sylex,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.5
City of Traitors | Phyrexian Revoker | Steel Overseer,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Field of Ruin | Sunken Citadel | Treetop Village,0.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Get Lost | Remote Farm | White Orchid Phantom,0.0
Guide of Souls | Karakas | Ocelot Pride,0.0
Inkmoth Nexus | Sol Ring | Steel Overseer,1.0
Ocelot Pride | Plains | Portable Hole,0.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-1.0
