Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Steel Overseer,0.5
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Dauthi Voidwalker | Dauthi Voidwalker | Peat Bog,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,1.0
"Disruptor Flute | Phelia, Exuberant Shepherd | Remote Farm",1.0
Dreadhorde Invasion | Feed the Swarm | Peat Bog,1.0
Force of Despair | Grief | Memnite,-1.0
Force of Despair | The Tabernacle at Pendrell Vale | Unmask,0.0
"Forest | Grist, Voracious Larva | Young Wolf",-1.0
Forest | Mutavault | Pithing Needle,-1.0
Hickory Woodlot | Lion Umbra | Steel Overseer,1.0
Island | Pact of the Titan | Stifle,0.0
Memnite | Memnite | Memnite,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Path to Exile | Plains | Student of Warfare,-1.0
Peat Bog | Sorin of House Markov | Vicious Rumors,1.0
Saprazzan Cove | Walking Ballista | Web of Inertia,1.0
