Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",-0.5
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Battlefly Swarm | Encroach | Swamp,-0.5
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",0.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
City of Traitors | Mox Jet | Plague Engineer,0.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
Crawling Chorus | Snow-Covered Plains | Swords to Plowshares,-0.5
Daze | Ocelot Pride | Tundra,-0.5
Dryad Arbor | Hexdrinker | Lush Growth,-0.5
Eater of Days | Mana Vault | Swamp,-1.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Ruby | Mutavault | Roiling Vortex,-1.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Prairie Dog | Remote Farm | White Orchid Phantom,-1.0
