Opponent Decklist,Result
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Angel of Sanctions | Icatian Store | Solitude,-0.5
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,0.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,0.0
Blooming Marsh | Crashing Footfalls | Evil Presence,1.0
Channel | Hickory Woodlot | Karn Liberated,-1.0
Charming Prince | Leonin Relic-Warder | Remote Farm,-1.0
Chronomaton | Karakas | Leyline of Singularity,-1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Gargadon | Sandstone Needle | Wild Magic Surge,-1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",1.0
Island | Piracy Charm | Sleep-Cursed Faerie,-1.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mental Misstep | Pendelhaven | Vault Skirge,-1.0
Nether Spirit | Peat Bog | Smallpox,0.0
