Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Imperial Subduer | Mox Pearl,1.0
Bayou | Hexdrinker | Thoughtseize,-1.0
Bitterblossom | Peat Bog | Smallpox,-1.0
Bottomless Vault | Virtus's Maneuver | Walking Ballista,-1.0
Cabal Therapist | Storm World | Undiscovered Paradise,0.0
Chancellor of the Forge | Foil | Underground Sea,-1.0
Chancellor of the Forge | Foil | Volcanic Island,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,-1.0
Chronomaton | Island | Piracy Charm,-1.0
Crashing Footfalls | Piracy Charm | Tropical Island,-1.0
"Crystal Vein | Karn, Scion of Urza | Mana Vault",1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dark Ritual | Phyrexian Crusader | Swamp,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dread | Lotus Bloom | Subterranean Hangar,0.0
Flash | Saprazzan Cove | Worldspine Wurm,0.0
Force Spike | Saprazzan Cove | Threads of Disloyalty,1.0
Force of Negation | Living Conundrum | Saprazzan Cove,0.0
Hexdrinker | Stern Dismissal | Tropical Island,-1.0
Karakas | Mishra's Factory | Porphyry Nodes,-1.0
"Karakas | Rograkh, Son of Rohgahh | Yoshimaru, Ever Faithful",0.0
Leonin Relic-Warder | Remote Farm | Skrelv's Hive,-1.0
Nullhide Ferox | Pick Your Poison | Rushwood Grove,-1.0
