Opponent Decklist,Result
Ancient Tomb | Field of Ruin | The Tabernacle at Pendrell Vale,0.0
Balance | Black Lotus | Mother of Runes,-0.5
Balance | Black Lotus | The Rack,-0.5
Barbed Wire | Ensnaring Bridge | Mishra's Workshop,0.0
Black Lotus | City of Traitors | Stormbreath Dragon,0.0
Black Lotus | Elite Spellbinder | Oblivion Ring,0.0
Black Lotus | Empty the Warrens | Samwise the Stouthearted,0.0
"Black Lotus | Emrakul, the Aeons Torn | Show and Tell",0.0
Black Lotus | Forbidden Orchard | Questing Beast,1.0
Black Lotus | True-Name Nemesis | Wastes,0.0
Blackmail | Death's Shadow | Tarnished Citadel,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Carnage Tyrant | Rushwood Grove | The Tabernacle at Pendrell Vale,1.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,-1.0
City of Traitors | Power Conduit | Urza's Saga,0.0
Everglades | Spawning Pool | The Tabernacle at Pendrell Vale,1.0
Force of Negation | Maze of Ith | Misdirection,0.0
Force of Negation | Misthollow Griffin | Sand Silos,0.0
Gleeful Demolition | Great Furnace | Noxious Revival,0.5
Gravecrawler | Gravecrawler | Swamp,1.0
"Hollow Trees | Maze of Ith | Thrun, the Last Troll",0.0
