Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,1.0
Arrogant Wurm | Lion's Eye Diamond | Wasteland,0.0
Basking Rootwalla | Hickory Woodlot | Royal Treatment,1.0
Bayou | Encroach | Hexdrinker,0.0
Bitterblossom | Dauthi Voidwalker | Peat Bog,-1.0
"Bottomless Vault | Kaervek, the Spiteful | Ophiomancer",1.0
Burning Inquiry | Nether Spirit | Simian Spirit Guide,-0.5
Cenn's Tactician | Leyline of Anticipation | Mox Pearl,1.0
Chancellor of the Forge | Force of Negation | Mental Misstep,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Chronomaton | Pithing Needle | Wasteland,0.5
City of Traitors | Isochron Scepter | Verdant Command,-1.0
Dryad Arbor | Force of Negation | Snapback,1.0
Durkwood Baloth | Forest | Young Wolf,1.0
Hexdrinker | Icehide Golem | Snow-Covered Forest,1.0
Hexdrinker | Overgrown Tomb | Snuff Out,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Leyline of Singularity | The Rack,0.0
Lodestone Golem | Mishra's Workshop | Sol Ring,-0.5
Lupine Prototype | Mishra's Workshop | Pithing Needle,1.0
Misthollow Griffin | Saprazzan Cove | Subtlety,1.0
Pithing Needle | Plains | Student of Warfare,1.0
Sol Ring | Tel-Jilad Stylus | Urza's Saga,-1.0
