,Result
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blinkmoth Nexus | Searslicer Goblin | Simian Spirit Guide,1.0
Bottomless Vault | Unstoppable Slasher | Witch's Vengeance,1.0
Calciform Pools | Hall of Storm Giants | March of Otherworldly Light,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
"Dryad Arbor | Grist, the Hunger Tide | Peat Bog",1.0
Dusk Rose Reliquary | Glint Hawk | Mox Pearl,1.0
Dwarven Hold | Dwarven Hold | Red Sun's Zenith,1.0
"Eiganjo, Seat of the Empire | Khalni Garden | Reluctant Role Model",1.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Hidden Strings | Sand Silos | True-Name Nemesis,1.0
Idol of False Gods | Mox Jet | Mutavault,1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
