Opponent Decklist,Result
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Burning Inquiry | Mountain | Nether Spirit,0.0
Cabal Therapy | Snow-Covered Swamp | The Rack,1.0
Cenn's Tactician | Curse of Silence | Plains,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pithing Needle | Plains,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Tangle | Mayor of Avabruck | Wasteland,1.0
Chronomaton | Pithing Needle | Wasteland,1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,1.0
City of Traitors | Retrofitter Foundry | Sol Ring,1.0
Ensnaring Bridge | Mishra's Workshop | Walking Bulwark,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Karakas | Leyline of Singularity | Tethered Griffin,1.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,1.0
Lupine Prototype | Mishra's Workshop | The Rack,0.0
Mishra's Workshop | Phyrexian Revoker | The Rack,1.0
"Oboro, Palace in the Clouds | Piracy Charm | The Rack",1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
