Opponent Decklist,Result
Ancient Tomb | Ancient Tomb | Eater of Days,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-0.5
Ancient Tomb | Imperial Subduer | Mox Pearl,0.0
Bayou | Hexdrinker | Thoughtseize,-1.0
Bitterblossom | Peat Bog | Smallpox,-0.5
Bottomless Vault | Virtus's Maneuver | Walking Ballista,-1.0
Cabal Therapist | Storm World | Undiscovered Paradise,1.0
Chancellor of the Forge | Foil | Underground Sea,-1.0
Chancellor of the Forge | Foil | Volcanic Island,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,0.0
Chronomaton | Island | Piracy Charm,1.0
Crashing Footfalls | Piracy Charm | Tropical Island,-0.5
"Crystal Vein | Karn, Scion of Urza | Mana Vault",-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dark Ritual | Phyrexian Crusader | Swamp,-0.5
Daze | Island | Sleep-Cursed Faerie,1.0
Dread | Lotus Bloom | Subterranean Hangar,-1.0
Flash | Saprazzan Cove | Worldspine Wurm,-1.0
Force Spike | Saprazzan Cove | Threads of Disloyalty,1.0
Force of Negation | Living Conundrum | Saprazzan Cove,1.0
Hexdrinker | Stern Dismissal | Tropical Island,-1.0
Karakas | Mishra's Factory | Porphyry Nodes,0.5
"Karakas | Rograkh, Son of Rohgahh | Yoshimaru, Ever Faithful",-1.0
Leonin Relic-Warder | Remote Farm | Skrelv's Hive,0.5
