Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Weathered Sentinels,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Bayou | Encroach | Hexdrinker,0.0
Bitterblossom | Peat Bog | Smallpox,1.0
Chronomaton | Forest | Pick Your Poison,-1.0
Crashing Footfalls | Evil Presence | Undiscovered Paradise,0.0
Crashing Footfalls | Force Spike | Tropical Island,1.0
Crashing Footfalls | Forest | Pick Your Poison,-1.0
"Crashing Footfalls | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",1.0
Crystal Vein | Leyline of the Guildpact | Scion of Draco,-1.0
Crystal Vein | Magus of the Moon | Mox Ruby,1.0
Dryad Arbor | Leyline Binding | Leyline of the Guildpact,1.0
Energy Field | Sand Silos | The Millennium Calendar,-1.0
Force of Despair | Memnite | Unmask,0.0
Force of Negation | Lotus Bloom | Skystrike Officer,0.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,0.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,0.0
Phyrexian Dreadnought | Stifle | Svyelunite Temple,-1.0
Pyroblast | Serene Remembrance | Taiga,1.0
