Opponent Decklist,Result
Ancient Tomb | Phyrexian Dreadnought | Torpor Orb,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Azure Beastbinder | Boomerang | Saprazzan Cove,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-0.5
"Bristly Bill, Spine Sower | Oboro, Palace in the Clouds | Rushwood Grove",0.0
Carnage Interpreter | Hellion Crucible | Rakdos Carnarium,0.0
Cavern of Souls | Champion of the Parish | Reinforced Ronin,0.0
Crack the Earth | Mox Ruby | The Tabernacle at Pendrell Vale,0.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dwarven Hold | Sneak Attack | Worldspine Wurm,0.0
Everglades | Murderous Rider | Swamp,0.0
Foil | Island | Nether Spirit,0.0
"Forbidden Orchard | Kambal, Profiteering Mayor | Remote Farm",0.0
Forest | Hexdrinker | Rishadan Port,0.0
High Market | Mox Sapphire | Sinister Concierge,-0.5
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Meddling Mage | Mox Pearl,0.0
Karakas | Mishra's Factory | Porphyry Nodes,0.0
"Lotus Bloom | Nicol Bolas, Dragon-God | Sulfur Vent",0.0
Memnite | Memnite | Memnite,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
