Opponent Decklist,Result
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Bandit's Talent | Hateful Eidolon | Peat Bog,1.0
"Boseiju, Who Endures | Hickory Woodlot | Tender Wildguide",-1.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Crawling Barrens | Planar Nexus | Urza's Tower,0.0
"Dargo, the Shipwrecker | Mana Crypt | Mox Ruby",-1.0
Dryad Arbor | Mistbreath Elder | Pick Your Poison,-1.0
"Eiganjo, Seat of the Empire | Frodo, Sauron's Bane | Orzhov Basilica",1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Goblin Guide | Goblin Guide | Mountain,1.0
Great Furnace | Kuldotha Rebirth | Mental Misstep,1.0
Hammerheim | Heartfire Hero | Maze of Ith,1.0
Hammerheim | Heartfire Hero | Mental Misstep,1.0
Hollow Trees | Pick Your Poison | Tender Wildguide,-1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Legacy's Allure | Saprazzan Skerry | Star Whale,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
"Mikaeus, the Lunarch | Remote Farm | Swift Reconfiguration",1.0
Ocelot Pride | Ocelot Pride | Plains,-1.0
Orcish Bowmasters | Peat Bog | Sheoldred's Edict,1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",-1.0
Rushwood Grove | Tamiyo's Safekeeping | Tender Wildguide,1.0
