Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Apostle's Blessing | Luminarch Aspirant | Remote Farm,1.0
"Boseiju, Who Endures | Grist, Voracious Larva | Hickory Woodlot",1.0
"Boseiju, Who Endures | Phelia, Exuberant Shepherd | Selesnya Sanctuary",1.0
Cenn's Tactician | Path to Exile | Plains,0.0
Changeling Outcast | Maze of Ith | Mox Jet,-0.5
Colossus Hammer | Kor Outfitter | Remote Farm,1.0
Dark Ritual | Rotting Regisaur | Swamp,0.5
Dismember | Hollow Trees | Quagnoth,0.0
Dryad Arbor | Mental Misstep | Pick Your Poison,1.0
Encroach | Swamp | Vector Asp,0.5
Hexdrinker | Leyline of Anticipation | Mox Emerald,-1.0
Hollow Trees | Pick Your Poison | Tyrranax Rex,1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,-1.0
Ocelot Pride | Plateau | Taste for Mayhem,0.0
Ocelot Pride | Scrubland | Thoughtseize,-0.5
"Phelia, Exuberant Shepherd | Ruins of Trokair | Tax Collector",0.5
Saprazzan Skerry | Star Whale | Time Beetle,1.0
