,Result
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,0.0
Auriok Transfixer | Plains | Swift Reconfiguration,1.0
Beloved Chaplain | Parting Gust | Remote Farm,0.0
Blast Zone | Fungal Reaches | Idol of False Gods,1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Chaplain of Alms | Oppressive Rays | Valgavoth's Lair,1.0
Dark Ritual | Gelatinous Cube | Peat Bog,0.5
Dark Ritual | Mox Jet | Unstoppable Slasher,1.0
Dismember | Dryad Arbor | Mistbreath Elder,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",0.0
"Dwarven Hold | Fury | Squee, the Immortal",1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Guul Draz Assassin | Mishra's Factory | Mox Jet,0.0
Haywire Mite | Pendelhaven | The Tabernacle at Pendrell Vale,0.0
Hinterland Sanctifier | Karakas | Leyline of Singularity,-1.0
Life of Toshiro Umezawa | Mire in Misery | Peat Bog,1.0
Mountain | Seal of Fire | Tel-Jilad Stylus,1.0
Murderous Rider | Paralyze | Subterranean Hangar,1.0
Peat Bog | Putrid Goblin | Smallpox,-0.5
Reanimate | Striped Riverwinder | Underground Sea,-0.5
