Opponent Decklist,Result
"Black Lotus | Channel | Ulamog, the Infinite Gyre",1.0
Black Lotus | Gideon of the Trials | Pact of Negation,0.0
"Black Lotus | Leonin Squire | Tourach, Dread Cantor",0.0
Black Lotus | Mayor of Avabruck | Mental Misstep,1.0
Blackmail | Death's Shadow | Tarnished Citadel,-0.5
Chalice of the Void | City of Traitors | Lupine Prototype,0.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,-1.0
Chancellor of the Forge | Chancellor of the Forge | Leyline of the Meek,1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Dark Depths | Thespian's Stage,1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,-1.0
City of Traitors | Retrofitter Foundry | Sphere of Resistance,0.0
Daze | Hexdrinker | Tropical Island,0.0
Energy Field | Sleeper Agent | Sulfur Vent,1.0
"Forced Adaptation | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
