Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Mana Tithe | Remote Farm",0.5
"Auntie Blyte, Bad Influence | Shinka, the Bloodsoaked Keep | Tarnished Citadel",1.0
Azure Beastbinder | Mishra's Factory | Mox Sapphire,0.0
Baleful Mastery | Dread | Subterranean Hangar,-1.0
Battlefield Raptor | Plains | Spirit Link,-0.5
Bilious Skulldweller | Bilious Skulldweller | Swamp,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Brain Maggot | Mox Jet | Rishadan Port,-0.5
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Dark Ritual | Phyrexian Crusader | Swamp,0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Daze | Hexdrinker | Tropical Island,-0.5
Dismember | Hollow Trees | Quagnoth,-1.0
Dryad Arbor | Force of Despair | Grief,0.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",0.0
Generous Plunderer | Sandstone Needle | Stasis,1.0
Great Furnace | Kuldotha Rebirth | Leyline of the Meek,-1.0
Guide of Souls | Ocelot Pride | Plains,0.0
Karakas | Leyline of Singularity | Mishra's Factory,-1.0
Mockingbird | Ocelot Pride | Tundra,-0.5
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,-0.5
