Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Arcbound Slith | City of Traitors | Disruptor Flute,-0.5
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Idol of False Gods | The Filigree Sylex,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
Divine Gambit | Remote Farm | Skrelv's Hive,0.0
Field of Ruin | Sunken Citadel | Treetop Village,0.5
Flash | Gruff Triplets | Saprazzan Skerry,0.0
Get Lost | Remote Farm | White Orchid Phantom,0.5
Guide of Souls | Karakas | Ocelot Pride,0.0
Hollow Trees | Maze of Ith | Outland Liberator,1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,1.0
Ocelot Pride | Plains | Portable Hole,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
