Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Endurance,0.5
Alpine Moon | Goblin Vandal | Mountain,1.0
Ancient Tomb | Hangarback Walker | Warping Wail,-1.0
Ancient Tomb | Steel Golem | Warping Wail,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bloodghast | Bone Shards | Undiscovered Paradise,1.0
Bottomless Vault | Murderous Rider | Noxious Revival,1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chain of Smog | Mishra's Factory | Mox Jet,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Karakas | Mana Tithe,1.0
Chancellor of the Forge | Path to Exile | Plains,1.0
Chronomaton | Dismember | Quicksand,-1.0
Daze | Hexdrinker | Tropical Island,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Energy Field | Sleeper Agent | Sulfur Vent,-1.0
Fearless Fledgling | Ghost Town | Mox Pearl,-1.0
Foil | Island | Nether Spirit,1.0
Great Hall of Starnheim | Mount Doom | Sunken Citadel,1.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,-1.0
