Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,0.0
Ancient Tomb | Dismember | Steel Overseer,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Butcher Ghoul | Peat Bog | Smallpox,0.0
Copper Tablet | Get Lost | Remote Farm,0.0
Crack the Earth | Hammerheim | Heartfire Hero,-0.5
Cruel Sadist | Dreams of Steel and Oil | Snow-Covered Swamp,1.0
Cruel Sadist | Dreams of Steel and Oil | Swamp,1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",-1.0
Dark Ritual | Mox Jet | Phylactery Lich,-1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",-1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",1.0
Hammerheim | Heartfire Hero | Thud,1.0
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,-1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",-1.0
Island Sanctuary | Remote Farm | Skrelv's Hive,-1.0
Mana Tithe | Memnite | Plains,1.0
Ocelot Pride | Plains | Sheltered Valley,0.0
