Opponent Decklist,Result
Angel of Sanctions | Icatian Store | Solitude,0.0
Bayou | Cabal Therapy | Swarm Shambler,-0.5
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Foil | Moonring Island,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",1.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,-1.0
Chronomaton | Island | Piracy Charm,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Get Lost | Remote Farm | Skrelv's Hive,1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,0.0
"Isamaru, Hound of Konda | Karakas | Porphyry Nodes",0.0
Karakas | Mana Tithe | Solitude,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Mayor of Avabruck | Mox Emerald | Mutavault,-1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,1.0
