Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Calciform Pools | Hall of Storm Giants | Unable to Scream,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dryad Arbor | Oboro, Palace in the Clouds | Springheart Nantuko",-1.0
Field of Ruin | Sleep-Cursed Faerie | Sunken Citadel,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Island Sanctuary | Prairie Dog | Remote Farm,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
