,Result
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,-1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,1.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Blazing Volley | Hammerheim | Heartfire Hero,-1.0
Campfire | Eldrazi Temple | Idol of False Gods,1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Dark Ritual | Hypnotic Specter | Swamp,1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,0.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,0.0
Encroach | Student of Warfare | Undiscovered Paradise,-0.5
Forbidden Orchard | Peat Bog | Suspended Sentence,1.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,-0.5
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
