Opponent Decklist,Result
Angel of Sanctions | Icatian Store | Solitude,-1.0
"Auntie Blyte, Bad Influence | Mana Crypt | Tarnished Citadel",-1.0
Chancellor of the Forge | City of Traitors | Hymn to Tourach,1.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,0.0
City of Traitors | Hangarback Walker | Steel Overseer,-1.0
City of Traitors | Pithing Needle | Steel Overseer,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Dryad Arbor | Force of Despair | Grief,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Get Lost | Prairie Dog | Remote Farm,-1.0
Greater Gargadon | Plateau | Restore Balance,-1.0
Inkmoth Nexus | Karakas | Mother of Runes,1.0
Mesmeric Fiend | Mox Jet | Rishadan Port,0.0
Mox Pearl | Prairie Dog | Rishadan Port,-0.5
"Path to Exile | Remote Farm | Thalia, Guardian of Thraben",0.0
Remote Farm | Shire Shirriff | Sunder the Gateway,0.0
