Opponent Decklist,Result
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,-1.0
Anointed Peacekeeper | Black Lotus | Wasteland,0.0
Barren Glory | Black Lotus | Black Lotus,0.0
Black Lotus | Black Lotus | Brazen Borrower,0.0
Black Lotus | Cabal Therapy | Epochrasite,0.0
Black Lotus | Dark Depths | Vampire Hexmage,0.0
Black Lotus | Descent into Avernus | Underhanded Designs,1.0
Black Lotus | Gideon of the Trials | Pact of Negation,0.0
Black Lotus | Mental Misstep | Sanctum Prelate,0.0
Black Lotus | Nullhide Ferox | Samwise the Stouthearted,-1.0
Black Lotus | Samwise the Stouthearted | Windborn Muse,0.0
Black Lotus | The Tabernacle at Pendrell Vale | Wrenn and Realmbreaker,0.0
Blackmail | Swamp | The Rack,0.0
Chancellor of the Forge | Force of Will | Mental Misstep,-1.0
Chancellor of the Forge | Force of Will | Misdirection,-1.0
Chronomaton | City of Traitors | The Rack,0.0
Dryad Arbor | Karakas | Mishra's Factory,1.0
Force of Will | Memnite | Snapback,-1.0
Force of Will | Misthollow Griffin | Sand Silos,0.0
Gemstone Caverns | Gingerbrute | Pure Intentions,1.0
