Opponent Decklist,Result
Agent of Treachery | Force of Negation | Sand Silos,0.0
Alpine Moon | Hexdrinker | Taiga,-1.0
Ancient Tomb | Dark Depths | Thespian's Stage,-0.5
Blightsteel Colossus | Lotus Bloom | Show and Tell,1.0
Boros Garrison | Hellion Crucible | Soul Partition,1.0
Bottomless Vault | Plague Engineer | Plague Engineer,1.0
City of Traitors | Dungeon Map | Mox Jet,1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-1.0
City of Traitors | Hex Parasite | Phyrexian Revoker,-1.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",0.0
Forest | Glistener Elf | Rancor,1.0
Forest | Hexdrinker | Pick Your Poison,0.0
Glint Hawk | Glint Hawk | Mox Pearl,-1.0
Harvester of Misery | Peat Bog | Reanimate,1.0
Inkmoth Nexus | Mox Jet | Traumatic Revelation,0.0
Memnite | Mental Misstep | Subtlety,1.0
Mox Pearl | Prairie Dog | Rishadan Port,0.0
Nested Shambler | Tendrils of Despair | Urborg,-1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,-0.5
Prairie Dog | Remote Farm | Soul Partition,1.0
