Opponent Decklist,Result
Abrade | Mishra's Factory | Mox Ruby,1.0
Aether Vial | Chancellor of the Tangle | Knight of Autumn,1.0
"Ajani, Nacatl Pariah | Figure of Destiny | Icatian Store",-1.0
Autonomous Assembler | Long Road Home | Remote Farm,1.0
Blinkmoth Nexus | Mox Sapphire | Reality Shift,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
"Contested Cliffs | Gruul Turf | Migloz, Maze Crusher",-1.0
Crack the Earth | Greater Gargadon | Mountain,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.5
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Greater Gargadon | Lightning Bolt | Mountain,0.0
Heartfire Hero | Nomads en-Kor | Plateau,-1.0
Mishra's Factory | Mishra's Factory | Mishra's Factory,1.0
Mox Pearl | Skrelv's Hive | Wasteland,-1.0
Oona's Gatewarden | Unable to Scream | Underground Sea,0.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",-1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",0.5
Assassin Initiate | Evil Presence | Swamp,-1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
"Cruelclaw's Heist | Mishra's Factory | Urborg, Tomb of Yawgmoth",-1.0
Daze | Hexdrinker | Tropical Island,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",-1.0
Get Lost | Island Sanctuary | Remote Farm,0.0
Hexdrinker | Savannah | Unwanted Remake,-1.0
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",-1.0
Karakas | Leyline of Singularity | Mutavault,-1.0
Living Conundrum | Mana Vault | Saprazzan Skerry,1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",-1.0
