Opponent Decklist,Result
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,-1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,0.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,0.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Brain Maggot | Mox Jet | Rishadan Port,0.5
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Chancellor of the Forge | Vexing Bauble | Wasteland,0.5
Daze | Island | Sleep-Cursed Faerie,-0.5
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,-1.0
Etched Slith | Mishra's Factory | Mox Jet,0.5
Forest | Hexdrinker | Mental Misstep,-1.0
Forest | Hexdrinker | Pick Your Poison,0.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,-1.0
Gleeful Demolition | Memnite | Mountain,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Sol Ring | Sphere of Resistance,0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
