Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Badlands | Blazing Rootwalla | Tinybones Joins Up,0.0
Bandit's Talent | Mox Jet | Radiant Fountain,0.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,-1.0
Chancellor of the Forge | Foil | Island,1.0
Dark Ritual | Phylactery Lich | Vault of Whispers,-1.0
Daze | Hexdrinker | Tropical Island,-1.0
Dismember | Hammerheim | Heartfire Hero,-1.0
Dread | Maze of Ith | Subterranean Hangar,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
Flare of Malice | Nested Shambler | Swamp,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Forest | Hexdrinker | Pick Your Poison,-0.5
Greater Gargadon | Restore Balance | Undiscovered Paradise,0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,0.5
Scrubland | Swooping Lookout | Thoughtseize,-1.0
