Opponent Decklist,Result
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,0.0
Cenn's Tactician | Karakas | Mental Misstep,-1.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,0.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Chronomaton | Curse of Silence | Karakas,0.0
City of Traitors | Dark Depths | Thespian's Stage,-1.0
City of Traitors | Lupine Prototype | Lupine Prototype,-1.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,-1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",0.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,-0.5
Mind Swords | Mishra's Factory | Mox Jet,0.0
