Opponent Decklist,Result
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,1.0
Anointed Peacekeeper | Black Lotus | Wasteland,1.0
Barren Glory | Black Lotus | Black Lotus,1.0
Black Lotus | Black Lotus | Brazen Borrower,1.0
Black Lotus | Burning Inquiry | Lupine Prototype,1.0
Black Lotus | Cabal Therapy | Epochrasite,1.0
Black Lotus | Dark Depths | Vampire Hexmage,1.0
Black Lotus | Descent into Avernus | Underhanded Designs,1.0
Black Lotus | Elite Spellbinder | Leyline of Anticipation,1.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
Black Lotus | Leyline of Anticipation | Liliana's Specter,1.0
Black Lotus | Leyline of Anticipation | Mage's Attendant,1.0
Black Lotus | Leyline of Anticipation | Mesmeric Fiend,1.0
Black Lotus | Mental Misstep | Sanctum Prelate,1.0
"Black Lotus | Nils, Discipline Enforcer | Wasteland",1.0
Black Lotus | Nullhide Ferox | Samwise the Stouthearted,1.0
Black Lotus | Phyrexian Dreadnought | Torpor Orb,1.0
Black Lotus | Samwise the Stouthearted | Windborn Muse,1.0
Black Lotus | The Tabernacle at Pendrell Vale | Wrenn and Realmbreaker,0.0
Blackmail | Fourth Bridge Prowler | Swamp,-1.0
Blackmail | Swamp | The Rack,1.0
Carnage Tyrant | Hollow Trees | Hollow Trees,-1.0
Cathedral of War | Inkmoth Nexus | The Tabernacle at Pendrell Vale,-1.0
Cenn's Tactician | Chronomaton | Karakas,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Force of Will | Misdirection,0.0
Chancellor of the Forge | Gemstone Caverns | Minor Misstep,0.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,-1.0
Chronomaton | City of Traitors | The Rack,-1.0
City of Traitors | Culling Scales | Inkmoth Nexus,-1.0
City of Traitors | Ornithopter | Retrofitter Foundry,0.0
Dryad Arbor | Karakas | Mishra's Factory,-1.0
Force of Will | Memnite | Snapback,0.0
Force of Will | Memnite | Subtlety,0.0
Force of Will | Misthollow Griffin | Sand Silos,-1.0
Force of Will | Misthollow Griffin | Saprazzan Cove,-1.0
Force of Will | Storm Crow | Wasteland,1.0
Gemstone Caverns | Gingerbrute | Pure Intentions,1.0
Karakas | Mishra's Factory | Mishra's Factory,-1.0
