Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-0.5
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-0.5
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,-0.5
City of Traitors | Field of Ruin | Idol of False Gods,0.5
City of Traitors | Idol of False Gods | The Filigree Sylex,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-0.5
Divine Gambit | Remote Farm | Skrelv's Hive,0.5
Field of Ruin | Sunken Citadel | Treetop Village,0.5
Flash | Gruff Triplets | Saprazzan Skerry,1.0
Get Lost | Remote Farm | White Orchid Phantom,0.0
Guide of Souls | Karakas | Ocelot Pride,-0.5
Hollow Trees | Maze of Ith | Outland Liberator,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,0.0
Ocelot Pride | Plains | Portable Hole,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.5
