Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,-1.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Dunes of the Dead | Mox Pearl,-0.5
Bayou | Hexdrinker | Shrieking Affliction,-1.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",0.0
Bottomless Vault | Murderous Rider | Unearth,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-1.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Chronomaton | Encroach | Swamp,-0.5
City of Traitors | Levitating Statue | Tel-Jilad Stylus,0.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,-1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,1.0
Lotus Bloom | Lotus Bloom | Primordial Hydra,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,0.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,0.5
Sandstone Needle | Shattering Spree | Vexing Shusher,1.0
