Opponent Decklist,Result
Archery Training | Plains | Swooping Lookout,1.0
Banehound | Black Lotus | Smallpox,0.0
Barren Glory | Black Lotus | Black Lotus,-1.0
Big Game Hunter | Black Lotus | Smallpox,0.0
Black Lotus | Black Lotus | Mistcutter Hydra,-1.0
Black Lotus | Chancellor of the Annex | Steel Seraph,-1.0
"Black Lotus | City of Traitors | Jace, Wielder of Mysteries",-1.0
Black Lotus | Dark Depths | Vampire Hexmage,-1.0
"Black Lotus | Dark Ritual | Liliana, Waker of the Dead",1.0
Black Lotus | Descent into Avernus | Underhanded Designs,-1.0
Black Lotus | Dryad Arbor | Propaganda,0.0
Cavern of Souls | Chronomaton | The Rack,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Annex | Chancellor of the Annex | Fountain of Cho,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Icatian Store | Strip Mine,-1.0
Chancellor of the Annex | Lupine Prototype | Mishra's Workshop,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
"Chandra, Awakened Inferno | Dwarven Hold | Vault Skirge",1.0
Crashing Footfalls | Forest | Veil of Summer,-1.0
Curse of Silence | Plains | Student of Warfare,-1.0
Dark Depths | Mana Crypt | Thespian's Stage,-1.0
"Dryad Arbor | Eladamri's Vineyard | Omnath, Locus of Mana",1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Strip Mine | The Rack | The Tabernacle at Pendrell Vale,0.0
