Opponent Decklist,Result
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,-0.5
Ancient Tomb | Mox Jet | Unstoppable Slasher,0.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,-1.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Brain Maggot | Mox Jet | Rishadan Port,0.5
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dryad Arbor | Force of Despair | Grief,0.5
Dryad Arbor | Hollow Trees | Nullhide Ferox,0.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Forest | Hexdrinker | Mental Misstep,-1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,-0.5
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.5
Mishra's Factory | Sol Ring | Sphere of Resistance,1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
