Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,1.0
Bayou | Hexdrinker | Inquisition of Kozilek,-1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",1.0
Chancellor of the Forge | Contagion | Unmask,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Crawling Chorus | Plains | Unwanted Remake,1.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",-0.5
Daze | Island | Sleep-Cursed Faerie,0.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Hexdrinker | Mox Emerald | Wasteland,-0.5
Island | Sleep-Cursed Faerie | Wasteland,1.0
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,1.0
Mox Jet | Nezumi Shortfang | Wasteland,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,0.5
Plains | Savannah Lions | Unwanted Remake,1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,0.0
