Opponent Decklist,Result
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-0.5
Alpine Moon | Inkmoth Nexus | Mountain,1.0
Angel of Sanctions | Icatian Store | Solitude,0.0
Cenn's Tactician | Path to Exile | Plains,-1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Icehide Golem | Snow-Covered Island,0.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,-1.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Forest | Hexdrinker | Mental Misstep,-1.0
Gleeful Demolition | Mountain | Voldaren Epicure,1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mox Emerald | Outland Liberator | Rishadan Port,1.0
Nix | Ocelot Pride | Tundra,1.0
Ocelot Pride | Ocelot Pride | Plains,0.0
Ocelot Pride | Scrubland | Thoughtseize,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Radiant Solar | Reanimate | Scrubland,-1.0
