Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,0.5
Ancient Tomb | Dismember | Steel Overseer,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,0.5
Blinkmoth Nexus | Grove of the Burnwillows | Punishing Fire,0.5
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Butcher Ghoul | Peat Bog | Smallpox,0.5
Copper Tablet | Get Lost | Remote Farm,0.5
Cruel Sadist | Dreams of Steel and Oil | Snow-Covered Swamp,0.5
Cruel Sadist | Dreams of Steel and Oil | Swamp,0.5
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Mox Jet | Phylactery Lich,1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",0.5
Hammerheim | Heartfire Hero | Thud,-0.5
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,0.5
Hushbringer | Phyrexian Dreadnought | Remote Farm,0.5
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",0.5
Island Sanctuary | Remote Farm | Skrelv's Hive,0.5
Mana Tithe | Memnite | Plains,0.0
Ocelot Pride | Plains | Sheltered Valley,-1.0
