Opponent Decklist,Result
"Boseiju, Who Endures | Hickory Woodlot | Mayor of Avabruck",-1.0
Cabal Therapy | Inkmoth Nexus | Urborg,-0.5
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.0
Cenn's Tactician | Curse of Silence | Plains,1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Chronomaton | Icatian Javelineers | Karakas,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,-1.0
City of Traitors | Mishra's Workshop | Stuffy Doll,1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,-1.0
Commandeer | Mental Misstep | Snapback,1.0
Doomed Traveler | Karakas | Leyline of Singularity,0.0
Forest | Mind Swords | Young Wolf,1.0
Grafdigger's Cage | Mana Clash | Snow-Covered Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,1.0
Karakas | Mana Tithe | Memnite,1.0
Karakas | Mox Pearl | Skrelv's Hive,-1.0
Karakas | Rishadan Port | Swooping Lookout,0.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Lupine Prototype | Lupine Prototype | Mishra's Workshop,-1.0
