,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
Cauldron Familiar | Cavern of Souls | Witch's Oven,1.0
Crack the Earth | Memnite | Mountain,1.0
Field of Ruin | Idol of False Gods | Sol Ring,1.0
Forest | Old-Growth Dryads | Pick Your Poison,1.0
Fountain of Cho | Phyrexian Triniform | Subterranean Hangar,-0.5
Gut Shot | Memnite | Mental Misstep,1.0
Hickory Woodlot | Liquimetal Coating | Outland Liberator,-1.0
Kitesail Freebooter | Mox Jet | Rishadan Port,-1.0
"Mother of Runes | Plains | Skrelv, Defector Mite",1.0
Mox Jet | Mox Jet | Refurbished Familiar,1.0
Mox Sapphire | Mutavault | Tide Shaper,1.0
Phyrexian Dreadnought | Stifle | Svyelunite Temple,1.0
