Opponent Decklist,Result
Ancient Den | Dryad Arbor | Dusk Rose Reliquary,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Anointed Peacekeeper | Plains | Sol Ring,1.0
Bitterblossom | Mox Jet | Volatile Fault,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Cenn's Tactician | Path to Exile | Plains,-0.5
Chain of Smog | Mox Jet | Mutavault,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",1.0
Chronomaton | Karakas | Leyline of Singularity,-0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Force of Negation | Memnite | Misdirection,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Hatchery Sliver | Hollow Trees | Virulent Sliver,0.0
Hexdrinker | Mox Emerald | Volatile Fault,-1.0
Lotus Bloom | Lotus Bloom | Valkyrie Harbinger,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Mox Emerald | Outland Liberator | Volatile Fault,-1.0
Mox Emerald | Swarm Shambler | Volatile Fault,-1.0
Snow-Covered Mountain | Taste for Mayhem | Vault Skirge,1.0
